cod_postal,city,latitude,longitude
04004,Almeria,36.8381,-2.4597
04005,Almeria,36.8381,-2.4597
04006,Almeria,36.8381,-2.4597
04007,Almeria,36.8381,-2.4597
04008,Almeria,36.8381,-2.4597
04009,Almeria,36.8381,-2.4597
04100,Nijar,36.9665,-2.2059
04117,"El Barranquete, Los Grillos, Cuevas Del Lino, San Isidro De Nijar, Presillas Bajas, Pueblo Blanco, Los Nietos, Pozo De Los Frailes, Boca De Los Frailes",36.84438888888889,-2.1522222222222225
04120,"Costacabana, Venta Gaspar, La Cañada De San Urbano, Loma Cabrera, El Bobar, El Mami",36.84616666666667,-2.39995
04131,Retamar,36.8445,-2.3073
04140,"Carboneras, La Cañada De Don Rodrigo",36.99805,-1.8953
04230,"Huercal De Almeria, El Carmen, Las Cumbres, Club De Tenis (Urbanizacion), Fuensanta, La (Huercal)",36.88868,-2.4403
04410,"El Chuche, Benahadux",36.920100000000005,-2.4558
04600,"San Francisco, Huercal-Overa, Los Carmonas",37.40343333333333,-1.9857666666666667
04610,"La Algarrobina, Calguerin, El Rulador, El Realengo, Cuatro Higueras (Cuevas Del Almanzora), Cirera, Cuevas Del Almanzora, Las Rozas, Era Alta, Fuente Jaula, El Arteal, El Molino Del Tarahal",37.287124999999996,-1.8719833333333333
04620,Vera,37.2475,-1.8684
04628,"El Real, Antas, Los Llanos Del Mayor, La Fuente Abad",37.238974999999996,-1.9164249999999998
04630,Garrucha,37.1805,-1.8232
04638,"La Alcantarilla, Las Cuartillas, Alparatas, Parata, La (Mojacar), Mojacar, El Agua Del Medio",37.105583333333335,-1.857
04639,"La Fuente Del Royo, El Cortijo Grande, Turre",37.152233333333335,-1.8949333333333334
04700,"Santo Domingo, El Ejido",36.79915,-2.8335999999999997
04711,Almerimar,36.7015,-2.7895
04713,Balanegra,36.7488,-2.9099
04717,San Agustin,36.7185,-2.8393
04720,"El Campillo Del Moro, El Parador De Las Hortichuelas, Aguadulce",36.8127,-2.5799
04721,"Parador, El (Vicar)",36.8315,-2.6427
04738,"Llanos De Vicar, La Gangosa, Las Cabañuelas, El Congo, La Lomilla, Vicar, Cañada Sebastiana, Barrio De Archilla, Puebla De Vicar, Cortijos De Marin (Vicar)",36.81305999999999,-2.64072
04740,"Roquetas De Mar, Marinas, Las (Roquetas De Mar), Roquetas De Mar (Urbanizacion)",36.7642,-2.6147
04741,Cortijos De Marin,36.9402,-2.5556
04760,"El Cid, Castala, Berja",36.8723,-2.9482
04770,"Gurrias, El Patio, Los Moras, El Corral, La Loma De Los Vargas, Perez, Los (Adra), Adra, La Curva, Canal, El (Adra), Parra, La (Adra)",36.75064,-3.016
04800,"Albox, Los Finos",37.38845,-2.1468
04820,"Motailon, El Rio De Mula, Ginte, Los Asensio, Gazquez, Los (Velez Rubio), Velez-Rubio",37.6484,-2.0769
04860,"Noria, La (Olula Del Rio), Olula Del Rio, Huitar Mayor, Huitar Menor",37.35,-2.3
04867,"Macael, Marchal, El (Macael), El Arroyo Franco Y Estella, El Reul Alto",37.30235,-2.32515
05001,Avila,40.6572,-4.6995
05003,Avila,40.6572,-4.6995
05005,Avila,40.6572,-4.6995
05200,Arevalo,41.0626,-4.7204
05230,Las Navas Del Marques,40.6024,-4.3345
05260,Cebreros,40.457,-4.4644
05400,"La Parra, Arenas De San Pedro",40.217150000000004,-5.0723
05480,Candeleda,40.1547,-5.2419
05600,El Barco De Avila,40.3571,-5.5237
06001,Badajoz,38.8802,-6.9724
06002,Badajoz,38.8785,-6.9681
06003,Badajoz,38.8723,-6.9675
06004,Badajoz,38.8715,-6.9739
06005,Badajoz,38.8742,-6.9783
06006,Badajoz,38.8779,-6.9706
06008,Badajoz,38.8798,-6.9569
06009,"Badajoz, La Pilara",38.877250000000004,-6.94345
06010,Badajoz,38.867,-6.9662
06011,Badajoz,38.8639,-6.9881
06100,Olivenza,38.6844,-7.0992
06171,Almendral,38.6133,-6.8215
06200,Almendralejo,38.681,-6.4064
06207,Aceuchal,38.6466,-6.4875
06220,Villafranca De Los Barros,38.5614,-6.3381
06225,Ribera Del Fresno,38.5518,-6.2377
06230,Los Santos De Maimona,38.45,-6.3833
06240,Fuente De Cantos,38.25,-6.3
06290,Usagre,38.3558,-6.1652
06300,Zafra,38.4229,-6.4166
06360,Fuente Del Maestre,38.5266,-6.4478
06400,Don Benito,38.9564,-5.8612
06420,Castuera,38.7238,-5.5453
06460,Campanario,38.8632,-5.6176
06480,Montijo,38.9097,-6.6174
06490,Puebla De La Calzada,38.8944,-6.6259
06600,Cabeza Del Buey,38.7223,-5.2195
06670,Herrera Del Duque,39.1684,-5.0505
06700,Villanueva De La Serena,38.9766,-5.7974
06800,Merida,38.9161,-6.3437
06900,Llerena,38.2374,-6.0163
07001,Palma De Mallorca,39.5694,2.6502
07002,Palma De Mallorca,39.5694,2.6502
07003,Palma De Mallorca,39.5694,2.6502
07004,Palma De Mallorca,39.5694,2.6502
07005,Palma De Mallorca,39.5694,2.6502
07006,Palma De Mallorca,39.5694,2.6502
07007,Palma De Mallorca,39.5694,2.6502
07008,Palma De Mallorca,39.5694,2.6502
07009,Palma De Mallorca,39.5694,2.6502
07010,Palma De Mallorca,39.5694,2.6502
07011,"Palma De Mallorca, Son Roca-Son Ximelis (Barri)",39.5694,2.6502
07012,Palma De Mallorca,39.5694,2.6502
07013,Palma De Mallorca,39.5694,2.6502
07014,Palma De Mallorca,39.5694,2.6502
07015,Palma De Mallorca,39.5694,2.6502
07100,"S'Horta (Soller), Soller",39.7662,2.7152
07141,"Es Pont D'Inca/El Pont D'Inca, Es Pla De Na Tesa/El Pla De Na Tesa, Cabaneta (Sa), Marratxinet (Marratxi), Portol, Marratxi",39.62681666666666,2.757
07150,Andratx,39.5749,2.4201
07157,Port D'Andratx,39.5443,2.3894
07180,"El Toro, Santa Ponça, Galatzo (Santa Ponça) (Urbanitzacio)",39.49986666666667,2.4772333333333334
07190,"Esporles, Port Des Canonge/Port Del Canonge, S'Esglaieta",39.668733333333336,2.5787999999999998
07300,Inca,39.7204,2.9094
07400,"Alcudia, Mal Pas - Bon Aire, Marina-Manresa, Port D'Alcudia, Platja De Alcudia (Urbanitzacio), Son Fe",39.87283333333333,3.3595
07420,Pobla (Sa),39.7692,3.0239
07440,Muro,39.7353,3.0553
07450,Santa Margalida,39.7019,3.1041
07500,Manacor,39.5688,3.2085
07590,"Cala Lliteres, Pedruscada, Cala Gat, Cala Ratjada, Es Carregador",39.7109,3.46318
07600,"Ses Cadenas, Cadenes (Ses), Es Pitlari, Palma De Mallorca, Arenal (S')",39.5347,2.7001
07610,"Can Pastilla, Las Maravillas, Palma De Mallorca",39.544066666666666,2.7015
07620,Llucmajor,39.4904,2.8913
